id,rating,might,fights
1419947,337,9505,100
1310724,470,18236,100
1179657,430,15557,100
786442,617,23685,100
1441804,473,14932,100
1239524,554,20094,100
393230,843,28363,100
1551021,106,2128,100
1529176,144,2712,100
917522,787,27315,100
131092,1088,33190,100
1310743,358,10933,100
1354415,-8,431,67
1527583,73,2069,100
524321,749,25580,100
786467,694,26317,100
786469,687,24813,100
786470,852,29550,100
131112,585,22319,100
1048618,438,15086,100
262187,1078,32870,100
262188,356,11449,100
1310766,411,14334,100
1422835,421,16806,100
1376264,323,9483,100
1048628,382,13183,100
1048629,646,23772,100
1179704,496,20044,100
393274,752,25781,100
1441851,287,9229,100
131132,1128,33898,100
1048639,596,22645,100
524353,219,4423,100
655426,902,29501,100
393285,1067,33289,100
786503,454,16306,100
786505,990,32207,100
393291,363,10721,100
1441870,438,14811,100
1441805,141,2404,100
655440,998,32654,100
1048658,606,22783,100
786515,657,23533,100
524372,533,21552,100
524373,824,28102,100
1418472,494,17335,100
1441887,285,7373,100
131168,504,18868,100
131172,1213,36540,100
393317,202,4015,100
393319,377,14369,100
1310824,422,15094,100
1549408,-1,1163,84
655466,853,28418,100
1398119,366,12129,100
786540,952,30688,100
1376274,326,10135,100
1069475,883,29586,100
917617,888,29382,100
524402,561,22303,100
262259,1026,32458,100
393335,699,25007,100
1048596,550,19877,100
1441918,377,12780,100
917631,341,10338,100
1048704,453,18055,100
655491,832,28087,100
1179782,296,7057,100
131208,678,23863,100
1519716,123,2536,100
1179786,587,20156,100
1048715,266,5647,100
1414239,305,8927,100
262285,606,22243,100
1441936,363,11714,100
1310865,300,9046,100
1179795,527,21733,100
262292,679,24864,100
1441944,214,4354,100
786587,410,14596,100
917660,955,30804,100
1551045,69,1872,100
1267056,359,12794,100
524451,692,22158,100
1179814,506,19759,100
393384,900,29711,100
393386,1056,34081,100
764615,406,16274,100
1310892,336,12440,100
699080,563,20995,100
1179827,501,18182,100
917685,606,22593,100
917686,378,13442,100
917687,699,24705,100
1179835,181,3070,100
619768,1124,33883,100
1310910,418,13096,100
262335,806,26814,100
1310912,519,20872,100
655553,889,29733,100
1213343,544,20405,100
1531953,241,4229,100
393414,658,24118,100
1114145,935,30613,100
1310920,415,16718,100
786635,1032,31562,100
1179855,454,16137,100
262353,875,30091,100
786642,724,26317,100
786643,820,27335,100
393430,975,30881,100
524503,773,27092,100
393433,773,26192,100
1551056,321,7208,100
524515,924,29790,100
1048805,829,28316,100
1368706,550,20050,100
524523,890,29467,100
524526,256,5360,100
1442032,411,15302,100
393459,539,21683,100
393461,1208,34559,100
1179896,955,29264,100
699092,903,31418,100
262394,390,14494,100
131324,1271,38430,100
1441834,233,3834,100
1442047,443,15783,100
655619,865,29339,100
1442056,290,7572,100
1179915,466,15041,100
524557,731,25790,100
1310999,-3,1208,88
1311000,411,14226,100
655645,603,23736,100
677253,538,18338,100
1311009,470,17555,100
1048868,232,4445,100
1311013,293,8018,100
786728,506,20678,100
131372,614,22929,100
1311022,524,18572,100
1267080,505,21204,100
1048883,396,15988,100
1492676,258,6124,100
393525,1087,33393,100
786744,884,29364,100
1311033,656,23663,100
524602,784,27145,100
1311038,445,15995,100
1442115,388,13760,100
1179973,509,17618,100
1311047,430,17834,100
131402,373,12970,100
1048908,568,21029,100
1442125,371,11574,100
917838,914,30720,100
917840,842,27674,100
655698,405,15163,100
524627,1105,34180,100
786772,447,16037,100
1522335,93,2137,100
393559,826,28376,100
131416,650,23160,100
917849,609,21976,100
393563,1085,31673,100
917858,564,19177,100
1442149,319,11870,100
349585,626,23550,100
655723,1013,32550,100
917868,464,18802,100
371432,1168,34779,100
131443,936,31137,100
393590,394,12181,100
371433,801,27783,100
1442168,217,4197,100
786810,622,22461,100
393596,621,23359,100
786813,396,13812,100
786814,528,20069,100
415125,144,2717,100
393603,1230,34460,100
786822,868,28624,100
1442184,384,13248,100
1180045,465,16869,100
393614,340,12428,100
1463704,310,8950,100
786835,881,29402,100
1442198,124,2309,100
917911,763,25727,100
786842,896,29272,100
131484,710,25386,100
393629,1109,33508,100
262558,771,26524,100
262559,473,18825,100
786848,724,26040,100
1180065,428,13298,100
1442211,390,13293,100
917925,745,25970,100
262567,1079,33829,100
917928,634,22469,100
1463708,446,16293,100
1311146,366,12427,100
524715,485,18255,100
1497265,400,14976,100
655789,698,25105,100
786863,581,21160,100
262577,452,17329,100
524722,672,25451,100
917941,501,18025,100
1463711,315,12254,100
852042,701,24760,100
786881,724,25332,100
786882,657,22567,100
1180104,576,22045,100
1330300,181,3327,100
131532,786,28209,100
262606,1174,35573,100
371448,647,23862,100
1442259,434,16641,100
1549395,79,2016,100
262615,639,21668,100
1442264,454,16858,100
655834,483,19340,100
1442269,348,12609,100
786913,425,17869,100
786916,582,20692,100
427739,746,25767,100
