id,rating,might,fights
1419947,293,9505,500
1310724,667,18236,500
1179657,529,15557,500
786442,1030,23685,500
1441804,502,14932,500
1239524,775,20094,500
393230,1518,28363,500
1551021,-8,2128,185
1529176,-2,2712,283
917522,1478,27315,500
131092,2245,33190,500
1310743,320,10933,500
1354415,-2,431,58
1527583,-1,2069,152
524321,1231,25580,500
786467,1329,26317,500
786469,1136,24813,500
786470,1622,29550,500
131112,939,22319,500
1048618,471,15086,500
262187,2159,32870,500
262188,324,11449,500
1310766,452,14334,500
1422835,596,16806,500
1376264,231,9483,499
1048628,410,13183,500
1048629,1057,23772,500
1179704,786,20044,500
393274,1279,25781,500
1441851,239,9229,497
131132,2379,33898,500
1048639,940,22645,500
524353,63,4423,463
655426,1703,29501,500
393285,2278,33289,500
786503,545,16306,500
786505,2106,32207,500
393291,321,10721,500
1441870,506,14811,500
1441805,-3,2404,230
655440,2151,32654,500
1048658,941,22783,500
786515,1029,23533,500
524372,810,21552,500
524373,1506,28102,500
1418472,616,17335,500
1441887,206,7373,496
131168,663,18868,500
131172,2740,36540,499
393317,46,4015,441
393319,488,14369,500
1310824,482,15094,500
1549408,-5,1163,65
655466,1525,28418,500
1398119,342,12129,500
786540,1844,30688,500
1376274,286,10135,498
1069475,1734,29586,500
917617,1621,29382,500
524402,953,22303,500
262259,2135,32458,500
393335,1076,25007,500
1048596,671,19877,500
1441918,354,12780,500
917631,294,10338,500
1048704,677,18055,500
655491,1479,28087,500
1179782,146,7057,490
131208,1045,23863,500
1519716,-3,2536,254
1179786,725,20156,500
1048715,124,5647,482
1414239,258,8927,498
262285,942,22243,500
1441936,400,11714,500
1310865,251,9046,499
1179795,869,21733,500
262292,1138,24864,500
1441944,70,4354,454
786587,500,14596,500
917660,1800,30804,500
1551045,-5,1872,144
1267056,396,12794,500
524451,900,22158,500
1179814,713,19759,500
393384,1693,29711,500
393386,2435,34081,500
764615,502,16274,500
1310892,355,12440,500
699080,802,20995,500
1179827,640,18182,500
917685,989,22593,500
917686,441,13442,500
917687,1114,24705,500
1179835,-1,3070,330
619768,2442,33883,499
1310910,427,13096,500
262335,1428,26814,500
1310912,810,20872,500
655553,1703,29733,500
1213343,792,20405,500
1531953,55,4229,440
393414,1039,24118,500
1114145,1811,30613,500
1310920,542,16718,500
786635,1949,31562,500
1179855,499,16137,500
262353,1847,30091,500
786642,1262,26317,500
786643,1438,27335,500
393430,1803,30881,500
524503,1412,27092,500
393433,1281,26192,500
1551056,198,7208,499
524515,1739,29790,500
1048805,1478,28316,500
1368706,751,20050,500
524523,1652,29467,500
524526,105,5360,478
1442032,470,15302,500
393459,922,21683,500
393461,2513,34559,500
1179896,1660,29264,500
699092,1974,31418,500
262394,475,14494,500
131324,3052,38430,492
1441834,53,3834,428
1442047,497,15783,500
655619,1662,29339,500
1442056,224,7572,492
1179915,492,15041,500
524557,1279,25790,500
1310999,-3,1208,84
1311000,438,14226,500
655645,1060,23736,500
677253,623,18338,500
1311009,602,17555,500
1048868,70,4445,465
1311013,180,8018,499
786728,830,20678,500
131372,947,22929,500
1311022,655,18572,500
1267080,842,21204,500
1048883,548,15988,500
1492676,134,6124,488
393525,2296,33393,500
786744,1701,29364,500
1311033,1026,23663,500
524602,1408,27145,500
1311038,508,15995,500
1442115,407,13760,500
1179973,616,17618,500
1311047,595,17834,500
131402,409,12970,500
1048908,816,21029,500
1442125,326,11574,499
917838,1892,30720,500
917840,1392,27674,500
655698,514,15163,500
524627,2383,34180,500
786772,510,16037,500
1522335,-10,2137,177
393559,1540,28376,500
131416,984,23160,500
917849,879,21976,500
393563,1945,31673,500
917858,713,19177,500
1442149,345,11870,500
349585,997,23550,500
655723,2148,32550,500
917868,718,18802,500
371432,2529,34779,500
131443,1909,31137,500
393590,337,12181,499
371433,1448,27783,500
1442168,57,4197,448
786810,971,22461,500
393596,980,23359,500
786813,437,13812,500
786814,812,20069,500
415125,-2,2717,285
393603,2495,34460,500
786822,1526,28624,500
1442184,396,13248,500
1180045,598,16869,500
393614,363,12428,500
1463704,238,8950,500
786835,1749,29402,500
1442198,-4,2309,217
917911,1183,25727,500
786842,1712,29272,500
131484,1228,25386,500
393629,2280,33508,500
262558,1298,26524,500
262559,666,18825,500
786848,1307,26040,500
1180065,383,13298,500
1442211,416,13293,500
917925,1317,25970,500
